2021_rank,city,state,scene_id,bounding_box,notes
1,New York,New York,13032,"[[[-74.123424, 40.568296], [-73.613891, 40.568296], [-73.613891, 40.942791], [-74.123424, 40.942791], [-74.123424, 40.568296]]]"
2,Los Angeles,California,41036,"[[[-118.41654, 33.723626], [-118.41654, 34.333656], [-117.7, 34.333656], [-117.7, 33.723626], [-118.41654, 33.723626]]]",cut off Long Beach
3,Chicago,Illinois,23031,"[[[-88, 41.475684], [-88, 42.1], [-87.454341, 42.1], [-87.454341, 41.475684], [-88, 41.475684]]]",
4,Houston,Texas,25039,"[[[-95.690165, 29.5937], [-95.690165, 30.1], [-94.900379, 30.1], [-94.900379, 29.5937]]]"
5,Phoenix,Arizona,37037,"[[[-112.39009, 33.171612], [-112.39009, 33.833492], [-111.549529, 33.833492], [-111.549529, 33.171612], [-112.39009, 33.171612]]]",
6,Philadelphia,Pennsylvania,14032,"[[[-75.404692, 39.794227], [-74.819623, 39.794227], [-74.819623, 40.173037], [-75.404692, 40.173037], [-75.404692, 39.794227]]]",
7,San Antonio,Texas,27040,"[[[-98.797396, 29.203045], [-98.187606, 29.203045], [-98.187606, 29.745823], [-98.797396, 29.745823], [-98.797396, 29.203045]]]",
8,San Diego,California,40037,"[[[-117.400031, 32.533427], [-116.817708, 32.533427], [-116.817708, 33.301193], [-117.400031, 33.301193], [-117.400031, 32.533427]]]",
9,Dallas,Texas,27037,"[[[-96.987356, 32.493149], [-96.481944, 32.493149], [-96.481944, 33.252075], [-96.987356, 33.252075], [-96.987356, 32.493149]]]",does not include Fort Worth
10,San Jose,California,44034,"
[[[-122.198267, 37.179638], [-121.687361, 37.179638], [-121.687361, 37.485381], [-122.198267, 37.485381], [-122.198267, 37.179638]]]",id same as San Francisco
11,Austin,Texas,27039,"[[[-97.879991, 30.157262], [-97.562735, 30.157262], [-97.562735, 30.580256], [-97.879991, 30.580256], [-97.879991, 30.157262]]]",
12,Jacksonville,Florida,16039,"[[[-81.7603, 29.988765], [-81.320811, 29.988765], [-81.320811, 30.560413], [-81.7603, 30.560413], [-81.7603, 29.988765]]]", ROI does not cover entire city
13,Fort Worth,Texas,27037,"[[[-97.503671, 32.539469], [-96.987271, 32.539469], [-96.987271, 33.141756], [-97.503671, 33.141756], [-97.503671, 32.539469]]]", Does not include Dallas
14,Columbus,Ohio,19032,"[[[-83.178887, 39.824177], [-82.747639, 39.824177], [-82.747639, 40.14091], [-83.178887, 40.14091], [-83.178887, 39.824177]]]",
15,Indianapolis,Indiana,21032,"[[[-86.444589, 39.579463], [-85.841665, 39.579463], [-85.841665, 40.09196], [-86.444589, 40.09196], [-86.444589, 39.579463]]]",
16,Charlotte,North Carolina,17036,"[[[-81.003595, 35.034301], [-80.609429, 35.034301], [-80.609429, 35.373182], [-81.003595, 35.373182], [-81.003595, 35.034301]]]",
17,San Francisco,California,44034,"[[[-122.549799, 37.447845], [-122.000438, 37.447845], [-122.000438, 37.855576], [-122.549799, 37.855576], [-122.549799, 37.447845]]]",
18,Seattle,Washington,46027,"[[[-122.470201, 47.227437], [-121.986763, 47.227437], [-121.986763, 47.981132], [-122.470201, 47.981132], [-122.470201, 47.227437]]]",
19,Denver,Colorado,33032,"[[[-105.183312, 39.612499], [-104.683393, 39.612499], [-104.683393, 40.086937], [-105.183312, 40.086937], [-105.183312, 39.612499]]]","tri-image intersect, >50%"
20,Oklahoma City,Oklahoma,28035,"[[[-97.871834, 35.18377], [-97.009337, 35.18377], [-97.009337, 35.680586], [-97.871834, 35.680586], [-97.871834, 35.18377]]]",
